search,title,card_name,condition,price,shipping,total_price,mkt_price,cond_price,value_score,cond_value,bid_count,time_listed,time_left,buy_it_now,best_offer,url
TR-H,Pokemon DARK GOLBAT 7/82 (Holo Rare) Team Rocket - MP/Mod Play,Dark Golbat,MP,13.99,1.95,15.94,17.01,10.20599999999999962230212702,6.290417401528512639623750730,-56.18263766411915138054576153,,2021-10-19 23:32:00,,,,https://www.ebay.com/itm/203658554955?hash=item2f6afeee4b:g:I-cAAOSweNVhb5u1
N1-L,lugia neo genesis 9/111 holo - HP - vintage pokemon tcg,Lugia,HP,75.00,4.45,79.45,360.22,180.110,77.94403420132141469102215313,55.88806840264282938204430626,,2021-10-19 23:26:00,,,,https://www.ebay.com/itm/393639050850?hash=item5ba6b73e62:g:BBEAAOSwaY9hb5pL
N1-L,lugia neo genesis 9/111 holo - HP - vintage pokemon tcg,Lugia,HP,75.00,,75.00,360.22,180.110,79.17939037255010826717006274,58.35878074510021653434012548,,2021-10-19 23:26:00,,,,https://www.ebay.com/itm/393639050850?hash=item5ba6b73e62&_trkparms=ispr%3D1&amdata=enc%3AAQAGAAADYNsIwSt02qbTTnOGz%252Fj77Rh2hFAah7%252FI%252Bt2zE1%252BEkvgaBIoh%252FjF04wFfGyNDfojYjiIgGu6dLpoQWb%252BQFAkaGK7zL18VhJNG%252BIM3vtNkRU%252Bz%252BlkRCl1WQV2fRiRLKKyabWuU%252FaJJY9EjyRQVxohFOHjCEWSgXaIiz%252BDRVpQG3vjnjeevKHqJOJk7jH3c00VHZDrn%252FkqWBReu0b23LZG2K1kxyLaL0sc7VTw1zgE2oebek04EjvM6zWS7Cv%252Ft0M2fIq6nOnoI5ly8ue3NimQ5%252BBdyWI6d9v9kQrturF%252BN%252BLlaezSbjcRQMjrRLnNwRWCIH3%252Fy8xvhH38y53EMQwXwZAsaBmlk5F03t%252F%252FtKGD1DiB8orEG%252FxkMDZBHTvW%252BEjq%252BOdfxTX18F%252FR4ga%252FkdX6qgCX73u3ZbHYyOe3ukHhICYEtSpmksmkMr6ZVfof0WUpEwoefXTdIbVXUVbZK%252FAWqaBw5r05sIkv8Unv6rDtPIGK4cxBQmy9DF5TsA9r4dYydV%252Fvjaz%252F%252F7DHGRx8JO4cRvf0S3PxkCyaWV1oG3JRHn711fjp1MjrIcdiD%252BP8rLENOvYyBgihoAEDEOzstMO9vgUqoQ8tg%252BIX3Q2YvknAj3FFx4I2TTlUawhRTqtr9KGWFK1duJHCPFzW9gdZ6jy0T82asGDaC9631D2lUaDAKS2k%252Fmu5KvakL9Mure%252FWBezuK1Iv583zzJ6Vrk5Z2JAYBXThDTZl%252FhXywzI%252Byrh4tWXT5eTrW32SVFIngMULJBo7XS2pr0n0FW3AyGiBH017nj%252Bnf2pj%252BbplQUzkoNz9DUhdeBOuwp%252FBSMMMwB6mfzk6Ga8lSaIdfcxI1rEf3zlqhofTl3Xtfh1QSjhEJyrOxdMXjP2Shb9rxTuW0Rg2HFSKJj9%252BCbB4fHKLMs5qGwexZL8mI7k2ntwRyJobhtb7r5QLne5E2RmQFRcubuYv6HwqGvbi48CIMmtE6AwVx0ejVf7QwnnPIitPwibfbRJ3yAy2lvn76DgSIdOcDChEsyfBn8TxKW0Cp1hV8w7jh79mwirHVWGyGC8jf%252F2FDKse3ShoXZ3%252FolxEsaEcFkXai2ZZM7P0lcqdsu4oL%252F30rotoUFG01ZL8oRoCyQW7dDxRsqXdy6DZS3oF73ZEK7RIVi4KYkw%253D%253D%7Campid%3APL_CLK
TR-H,Pokemon Card Dark Hypno 9/82 Team Rocket Holo Rare LP - Played,Dark Hypno,LP,10.50,4.50,15.00,15.45,10.81499999999999931388217078,2.912621359223300970873786410,-38.69625520110957884068178821,,2021-10-19 23:09:00,,,,https://www.ebay.com/itm/403242802561?hash=item5de324dd81:g:Vr8AAOSwEjZhb5Zr
N3-H,Blissey 2/64 Holo Rare Neo Revelation 2001 Pokemon TCG,Blissey,,20.00,4.50,24.50,28.43,11.37200000000000063127281180,13.82342595849454801266268027,-115.4414351037636180089412138,,2021-10-19 23:00:00,,,,https://www.ebay.com/itm/403242793889?hash=item5de324bba1:g:B3wAAOSwiLZhb5Qn
GC-H,Koga's Ditto Holo Rare - Gym Challenge 10/132 - Pokémon,Koga's Ditto,,12.00,,12.00,28.34,11.33600000000000062927441036,57.65702187720536344389555399,-5.857445306986585513992459618,,2021-10-19 22:06:00,,,,https://www.ebay.com/itm/353732978865?hash=item525c20e8b1:g:pp8AAOSwqZlhb4ex
TR-H,Dark Blastoise 3/82 Rare Holo Team Rocket Pokemon Card Lightly Played,Dark Blastoise,LP,34.99,,34.99,100,69.99999999999999555910790150,65.0100,50.01428571428571111455480558,,2021-10-19 21:00:00,,,,https://www.ebay.com/itm/165138070028?hash=item2672fefa0c:g:mWMAAOSw10dhb3g2
GC-H,Giovanni's Gyarados 5/132 Gym Challenge Pokemon Card NM/LP Scratches In Holo,Giovanni's Gyarados,LP,44.48,,44.48,56.36,39.45199999999999749711321329,21.07877927608232789212207239,-12.74460103416811016392000916,,2021-10-19 20:30:00,,,,https://www.ebay.com/itm/185117455158?hash=item2b19dc3336:g:o0oAAOSwWsxhb2~2
B2-H,Base Set 2 Charizard Holo 4/130 NM Condition Pokémon *DAMAGED*,Charizard,DMG,80.00,,80.00,286.99,114.7960000000000063724581167,72.12446426704763232168368236,30.31116066761908467271690518,,2021-10-19 20:01:00,,,,https://www.ebay.com/itm/363587486566?hash=item54a780c366:g:HewAAOSwB8thb0yc
TR-H,Dark Hypno 9/82 - Team Rocket Holo Rare Pokemon TCG WOTC (2000),Dark Hypno,,10.00,5.00,15.00,15.45,6.180000000000000343058914609,2.912621359223300970873786410,-142.7184466019417340992351381,,2021-10-19 19:28:00,,,,https://www.ebay.com/itm/353732819507?hash=item525c1e7a33:g:VS0AAOSwkRBhb2JA
